SamAccountName,Password,Path,Department,UserPrincipalName,GivenName,initials,Surname,Name,Displayname,Office,OfficePhone,Email,StreetAddress,City,State,PostalCode,Country,Title,Company
Stacy.Miller,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Stacy.Miller@PGIT.com,Stacy,F,Miller,Stacy Miller,Stacy Miller,Marketing Office,409-916-8768,Stacy.Miller@PGIT.com,1414 Lynn Ogden Lane,Texas City,TX,77591,US,Marketing Coordinator,Active Directory Pro
Charles.Robertson,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Charles.Robertson@PGIT.com,Charles,C,Robertson,Charles Robertson,Charles Robertson,Marketing Office,707-568-4556,Charles.Robertson@PGIT.com,1380 Marietta Street,Santa Rosa,CA,95401,US,Marketing Coordinator,Active Directory Pro
George.Mosely,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,George.Mosely@PGIT.com,George,L,Mosely,George Mosely,George Mosely,Marketing Office,703-392-5629,George.Mosely@PGIT.com,1455 Golf Course Drive,Manassas,VA,22110,US,Marketing Coordinator,Active Directory Pro
Virginia.Norris,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Virginia.Norris@PGIT.com,Virginia,L,Norris,Virginia Norris,Virginia Norris,Marketing Office,267-374-7677,Virginia.Norris@PGIT.com,2360 Valley Drive,Plymouth Meeting,PA,19462,US,Marketing Coordinator,Active Directory Pro
Matthew.Gilligan,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Matthew.Gilligan@PGIT.com,Matthew,D,Gilligan,Matthew Gilligan,Matthew Gilligan,Marketing Office,508-282-0872,Matthew.Gilligan@PGIT.com,3370 Stadium Drive,Brockton,MA,2402,US,Marketing Coordinator,Active Directory Pro
Mary.Barnett,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Mary.Barnett@PGIT.com,Mary,R,Barnett,Mary Barnett,Mary Barnett,Marketing Office,808-550-0871,Mary.Barnett@PGIT.com,3302 Arron Smith Drive,Honolulu,HI,96813,US,Marketing Coordinator,Active Directory Pro
Alva.Wood,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Alva.Wood@PGIT.com,Alva,E,Wood,Alva Wood,Alva Wood,Marketing Office,720-532-9845,Alva.Wood@PGIT.com,4175 Clay Lick Road,Aurora,CO,80014,US,Marketing Coordinator,Active Directory Pro
Eric.Seifert,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Eric.Seifert@PGIT.com,Eric,E,Seifert,Eric Seifert,Eric Seifert,Marketing Office,631-539-1213,Eric.Seifert@PGIT.com,4053 Abia Martin Drive,Bethpage,NY,11714,US,Marketing Coordinator,Active Directory Pro
Martha.Morales,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Martha.Morales@PGIT.com,Martha,R,Morales,Martha Morales,Martha Morales,Marketing Office,386-658-8566,Martha.Morales@PGIT.com,2181 Spirit Drive,Dowling Park,FL,32060,US,Marketing Coordinator,Active Directory Pro
Jackie.Harris,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Jackie.Harris@PGIT.com,Jackie,D,Harris,Jackie Harris,Jackie Harris,Marketing Office,267-508-3863,Jackie.Harris@PGIT.com,400 Quincy Street,Philadelphia,PA,19108,US,Marketing Coordinator,Active Directory Pro
Mary.Smart,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Mary.Smart@PGIT.com,Mary,J,Smart,Mary Smart,Mary Smart,Marketing Office,985-705-6763,Mary.Smart@PGIT.com,2760 Woodland Avenue,Metairie,LA,70001,US,Marketing Coordinator,Active Directory Pro
Timmy.Snow,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Timmy.Snow@PGIT.com,Timmy,T,Snow,Timmy Snow,Timmy Snow,Marketing Office,336-566-7831,Timmy.Snow@PGIT.com,1170 Ingram Road,Asheboro,NC,27203,US,Marketing Coordinator,Active Directory Pro
Jared.Dietz,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Jared.Dietz@PGIT.com,Jared,C,Dietz,Jared Dietz,Jared Dietz,Marketing Office,772-221-0223,Jared.Dietz@PGIT.com,2432 Elkview Drive,Stuart,FL,34994,US,Marketing Coordinator,Active Directory Pro
Shannon.Key,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Shannon.Key@PGIT.com,Shannon,M,Key,Shannon Key,Shannon Key,Marketing Office,908-598-7681,Shannon.Key@PGIT.com,2294 Caynor Circle,Summit,NJ,7901,US,Marketing Coordinator,Active Directory Pro
Leo.Puente,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Leo.Puente@PGIT.com,Leo,E,Puente,Leo Puente,Leo Puente,Marketing Office,773-592-8062,Leo.Puente@PGIT.com,4173 Virginia Street,Chicago,IL,60631,US,Marketing Coordinator,Active Directory Pro
Minnie.James,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Minnie.James@PGIT.com,Minnie,G,James,Minnie James,Minnie James,Marketing Office,808-627-7882,Minnie.James@PGIT.com,113 Indiana Avenue,Mililani,HI,96789,US,Marketing Coordinator,Active Directory Pro
Irene.Terrell,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Irene.Terrell@PGIT.com,Irene,J,Terrell,Irene Terrell,Irene Terrell,Marketing Office,318-663-4940,Irene.Terrell@PGIT.com,1964 Emerson Road,Shreveport,LA,71101,US,Marketing Coordinator,Active Directory Pro
Lionel.Garey,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Lionel.Garey@PGIT.com,Lionel,T,Garey,Lionel Garey,Lionel Garey,Marketing Office,225-715-1914,Lionel.Garey@PGIT.com,366 Eva Pearl Street,Baton Rouge,LA,70814,US,Marketing Coordinator,Active Directory Pro
Renee.Stone,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Renee.Stone@PGIT.com,Renee,J,Stone,Renee Stone,Renee Stone,Marketing Office,336-881-9875,Renee.Stone@PGIT.com,1505 Fire Access Road,High Point,NC,27260,US,Marketing Coordinator,Active Directory Pro
Jenna.Rushton,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Jenna.Rushton@PGIT.com,Jenna,M,Rushton,Jenna Rushton,Jenna Rushton,Marketing Office,404-568-4939,Jenna.Rushton@PGIT.com,530 Junior Avenue,Atlanta,GA,30342,US,Marketing Coordinator,Active Directory Pro
Michelle.Tobin,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Michelle.Tobin@PGIT.com,Michelle,W,Tobin,Michelle Tobin,Michelle Tobin,Marketing Office,614-727-4508,Michelle.Tobin@PGIT.com,593 Palmer Road,Columbus,OH,43212,US,Marketing Coordinator,Active Directory Pro
Roger.Porter,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Roger.Porter@PGIT.com,Roger,B,Porter,Roger Porter,Roger Porter,Marketing Office,856-336-8811,Roger.Porter@PGIT.com,2515 Lee Avenue,Pennsauken,NJ,8110,US,Marketing Coordinator,Active Directory Pro
Bridget.Griffing,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Bridget.Griffing@PGIT.com,Bridget,N,Griffing,Bridget Griffing,Bridget Griffing,Marketing Office,646-865-7318,Bridget.Griffing@PGIT.com,785 Forest Avenue,New York,NY,10016,US,Marketing Coordinator,Active Directory Pro
Roy.Gully,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Roy.Gully@PGIT.com,Roy,C,Gully,Roy Gully,Roy Gully,Marketing Office,720-744-3789,Roy.Gully@PGIT.com,84 Clay Lick Road,Denver,CO,80014,US,Marketing Coordinator,Active Directory Pro
Sherry.Eastman,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Sherry.Eastman@PGIT.com,Sherry,J,Eastman,Sherry Eastman,Sherry Eastman,Marketing Office,334-561-6230,Sherry.Eastman@PGIT.com,130 Turkey Pen Lane,Montgomery,AL,36104,US,Marketing Coordinator,Active Directory Pro
France.Hill,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,France.Hill@PGIT.com,France,M,Hill,France Hill,France Hill,Marketing Office,732-579-9142,France.Hill@PGIT.com,1892 Webster Street,Newark,NJ,7102,US,Marketing Coordinator,Active Directory Pro
Sheree.Ervin,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Sheree.Ervin@PGIT.com,Sheree,B,Ervin,Sheree Ervin,Sheree Ervin,Marketing Office,916-278-3566,Sheree.Ervin@PGIT.com,785 Pearl Street,Sacramento,CA,95817,US,Marketing Coordinator,Active Directory Pro
Javier.Johnson,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Javier.Johnson@PGIT.com,Javier,P,Johnson,Javier Johnson,Javier Johnson,Marketing Office,502-319-2599,Javier.Johnson@PGIT.com,2705 Radford Street,Louisville,KY,40299,US,Marketing Coordinator,Active Directory Pro
James.Morgan,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,James.Morgan@PGIT.com,James,M,Morgan,James Morgan,James Morgan,Marketing Office,805-383-2791,James.Morgan@PGIT.com,2196 Diane Street,Camarillo,CA,93010,US,Marketing Coordinator,Active Directory Pro
Danilo.Spell,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Danilo.Spell@PGIT.com,Danilo,J,Spell,Danilo Spell,Danilo Spell,Marketing Office,865-224-6520,Danilo.Spell@PGIT.com,2160 Brown Avenue,Harriman,TN,37748,US,Marketing Coordinator,Active Directory Pro
Judy.Holloman,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Judy.Holloman@PGIT.com,Judy,R,Holloman,Judy Holloman,Judy Holloman,Marketing Office,412-366-8228,Judy.Holloman@PGIT.com,2576 Jacobs Street,Pittsburgh,PA,15237,US,Marketing Coordinator,Active Directory Pro
Susan.Newman,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Susan.Newman@PGIT.com,Susan,S,Newman,Susan Newman,Susan Newman,Marketing Office,845-747-9580,Susan.Newman@PGIT.com,3098 Old Dear Lane,Poughkeepsie,NY,12601,US,Marketing Coordinator,Active Directory Pro
Pauline.Beal,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Pauline.Beal@PGIT.com,Pauline,B,Beal,Pauline Beal,Pauline Beal,Marketing Office,201-515-1857,Pauline.Beal@PGIT.com,3812 Walnut Avenue,Piscataway,NJ,8854,US,Marketing Coordinator,Active Directory Pro
George.Puffer,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,George.Puffer@PGIT.com,George,C,Puffer,George Puffer,George Puffer,Marketing Office,334-399-9633,George.Puffer@PGIT.com,748 Fleming Street,Montgomery,AL,36117,US,Marketing Coordinator,Active Directory Pro
April.Minton,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,April.Minton@PGIT.com,April,S,Minton,April Minton,April Minton,Marketing Office,305-258-2745,April.Minton@PGIT.com,4279 Agriculture Lane,Homestead,FL,33032,US,Marketing Coordinator,Active Directory Pro
Orlando.Barga,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Orlando.Barga@PGIT.com,Orlando,T,Barga,Orlando Barga,Orlando Barga,Marketing Office,315-874-7845,Orlando.Barga@PGIT.com,1956 Saint Marys Avenue,Syracuse,NY,13202,US,Marketing Coordinator,Active Directory Pro
Leslie.Snyder,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Leslie.Snyder@PGIT.com,Leslie,D,Snyder,Leslie Snyder,Leslie Snyder,Marketing Office,330-832-6166,Leslie.Snyder@PGIT.com,3521 Rivendell Drive,Massillon,OH,44646,US,Marketing Coordinator,Active Directory Pro
Guillermo.Hornberger,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Guillermo.Hornberger@PGIT.com,Guillermo,M,Hornberger,Guillermo Hornberger,Guillermo Hornberger,Marketing Office,802-779-5699,Guillermo.Hornberger@PGIT.com,3679 Hardman Road,Brattleboro,VT,5301,US,Marketing Coordinator,Active Directory Pro
Harold.Combs,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Harold.Combs@PGIT.com,Harold,C,Combs,Harold Combs,Harold Combs,Marketing Office,847-586-0147,Harold.Combs@PGIT.com,4407 Vine Street,Arlington Heights,IL,60005,US,Marketing Coordinator,Active Directory Pro
James.Andrews,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,James.Andrews@PGIT.com,James,L,Andrews,James Andrews,James Andrews,Marketing Office,727-592-1749,James.Andrews@PGIT.com,2481 Maryland Avenue,Feather Sound,FL,34622,US,Marketing Coordinator,Active Directory Pro
Johnny.Cruz,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Johnny.Cruz@PGIT.com,Johnny,S,Cruz,Johnny Cruz,Johnny Cruz,Marketing Office,717-658-1535,Johnny.Cruz@PGIT.com,3 Lincoln Drive,Chambersburg,PA,17201,US,Marketing Coordinator,Active Directory Pro
Steven.Knight,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Steven.Knight@PGIT.com,Steven,A,Knight,Steven Knight,Steven Knight,Marketing Office,856-243-5626,Steven.Knight@PGIT.com,4349 American Drive,Camden,NJ,8102,US,Marketing Coordinator,Active Directory Pro
Jack.Jones,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Jack.Jones@PGIT.com,Jack,M,Jones,Jack Jones,Jack Jones,Marketing Office,720-878-8430,Jack.Jones@PGIT.com,259 Leo Street,Denver,CO,80202,US,Marketing Coordinator,Active Directory Pro
Robert.Maag,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Robert.Maag@PGIT.com,Robert,E,Maag,Robert Maag,Robert Maag,Marketing Office,402-269-7013,Robert.Maag@PGIT.com,292 Crummit Lane,Syracuse,NE,68446,US,Marketing Coordinator,Active Directory Pro
Richelle.Best,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Richelle.Best@PGIT.com,Richelle,D,Best,Richelle Best,Richelle Best,Marketing Office,225-930-2367,Richelle.Best@PGIT.com,504 Coventry Court,Baton Rouge,LA,70806,US,Marketing Coordinator,Active Directory Pro
William.Reed,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,William.Reed@PGIT.com,William,L,Reed,William Reed,William Reed,Marketing Office,602-523-6606,William.Reed@PGIT.com,4075 Coplin Avenue,Phoenix,AZ,85003,US,Marketing Coordinator,Active Directory Pro
Anna.Tabron,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Anna.Tabron@PGIT.com,Anna,K,Tabron,Anna Tabron,Anna Tabron,Marketing Office,626-210-7560,Anna.Tabron@PGIT.com,4931 Rainbow Road,Los Angeles,CA,90017,US,Marketing Coordinator,Active Directory Pro
Judith.Smith,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Judith.Smith@PGIT.com,Judith,T,Smith,Judith Smith,Judith Smith,Marketing Office,818-369-3876,Judith.Smith@PGIT.com,4486 Edsel Road,Los Angeles,CA,90017,US,Marketing Coordinator,Active Directory Pro
Ora.Moon,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Ora.Moon@PGIT.com,Ora,M,Moon,Ora Moon,Ora Moon,Marketing Office,605-865-6390,Ora.Moon@PGIT.com,4678 Leroy Lane,Timber Lake,SD,57656,US,Marketing Coordinator,Active Directory Pro
John.Tuck,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,John.Tuck@PGIT.com,John,D,Tuck,John Tuck,John Tuck,Marketing Office,541-890-8841,John.Tuck@PGIT.com,3536 Skinner Hollow Road,Medford,OR,97501,US,Marketing Coordinator,Active Directory Pro
Cynthia.Gutierrez,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Cynthia.Gutierrez@PGIT.com,Cynthia,B,Gutierrez,Cynthia Gutierrez,Cynthia Gutierrez,Marketing Office,337-240-9607,Cynthia.Gutierrez@PGIT.com,3885 Sherwood Circle,Lake Charles,LA,70629,US,Marketing Coordinator,Active Directory Pro
Vincent.Simas,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Vincent.Simas@PGIT.com,Vincent,E,Simas,Vincent Simas,Vincent Simas,Marketing Office,908-497-7017,Vincent.Simas@PGIT.com,1318 Caynor Circle,Cranford,NJ,7016,US,Marketing Coordinator,Active Directory Pro
Keith.Lucero,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Keith.Lucero@PGIT.com,Keith,J,Lucero,Keith Lucero,Keith Lucero,Marketing Office,949-808-5562,Keith.Lucero@PGIT.com,3754 Hillcrest Lane,Riverside,CA,92501,US,Marketing Coordinator,Active Directory Pro
Joseph.Erwin,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Joseph.Erwin@PGIT.com,Joseph,D,Erwin,Joseph Erwin,Joseph Erwin,Marketing Office,812-796-1101,Joseph.Erwin@PGIT.com,2783 Stratford Park,Louisville,IN,40202,US,Marketing Coordinator,Active Directory Pro
Beth.Reed,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Beth.Reed@PGIT.com,Beth,J,Reed,Beth Reed,Beth Reed,Marketing Office,307-787-0786,Beth.Reed@PGIT.com,3467 Archwood Avenue,Mountain View,WY,82939,US,Marketing Coordinator,Active Directory Pro
Tracey.Williams,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Tracey.Williams@PGIT.com,Tracey,L,Williams,Tracey Williams,Tracey Williams,Marketing Office,419-278-9844,Tracey.Williams@PGIT.com,239 Davis Place,Deshler,OH,43516,US,Marketing Coordinator,Active Directory Pro
Connie.Brown,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Connie.Brown@PGIT.com,Connie,E,Brown,Connie Brown,Connie Brown,Marketing Office,678-338-4633,Connie.Brown@PGIT.com,201 Layman Court,Roswell,GA,30075,US,Marketing Coordinator,Active Directory Pro
Stacy.Tucker,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Stacy.Tucker@PGIT.com,Stacy,J,Tucker,Stacy Tucker,Stacy Tucker,Marketing Office,817-407-8628,Stacy.Tucker@PGIT.com,546 Waldeck Street,Dallas,TX,75212,US,Marketing Coordinator,Active Directory Pro
Rona.Murphy,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Rona.Murphy@PGIT.com,Rona,E,Murphy,Rona Murphy,Rona Murphy,Marketing Office,918-582-3489,Rona.Murphy@PGIT.com,2581 Camel Back Road,Tulsa,OK,74120,US,Marketing Coordinator,Active Directory Pro
